language,structure,case,n,implementation,run,time_sec
python,binary_heap,4. Heapify random,10000,BinaryHeap,5,0.004373778
python,binary_heap,4. Heapify random,10000,heapq,1,0.000293357
python,binary_heap,4. Heapify random,10000,heapq,2,0.000286832
python,binary_heap,4. Heapify random,10000,heapq,3,0.000288647
python,binary_heap,4. Heapify random,10000,heapq,4,0.000286000
python,binary_heap,4. Heapify random,10000,heapq,5,0.000285955
python,binary_heap,4. Heapify random,50000,BinaryHeap,1,0.026589329
python,binary_heap,4. Heapify random,50000,BinaryHeap,2,0.024590292
python,binary_heap,4. Heapify random,50000,BinaryHeap,3,0.022469284
python,binary_heap,4. Heapify random,50000,BinaryHeap,4,0.022279749
python,binary_heap,4. Heapify random,50000,BinaryHeap,5,0.021600735
python,binary_heap,4. Heapify random,50000,heapq,1,0.001600223
python,binary_heap,4. Heapify random,50000,heapq,2,0.001513087
python,binary_heap,4. Heapify random,50000,heapq,3,0.001552419
python,binary_heap,4. Heapify random,50000,heapq,4,0.001487861
python,binary_heap,4. Heapify random,50000,heapq,5,0.001467819
python,binary_heap,4. Heapify random,100000,BinaryHeap,1,0.051743969
python,binary_heap,4. Heapify random,100000,BinaryHeap,2,0.048859034
python,binary_heap,4. Heapify random,100000,BinaryHeap,3,0.046784137
python,binary_heap,4. Heapify random,100000,BinaryHeap,4,0.047476059
python,binary_heap,4. Heapify random,100000,BinaryHeap,5,0.046691367
python,binary_heap,4. Heapify random,100000,heapq,1,0.003621002
python,binary_heap,4. Heapify random,100000,heapq,2,0.004600985
python,binary_heap,4. Heapify random,100000,heapq,3,0.003845624
python,binary_heap,4. Heapify random,100000,heapq,4,0.003422290
python,binary_heap,4. Heapify random,100000,heapq,5,0.003365877
python,binary_heap,4. Heapify random,200000,BinaryHeap,1,0.103915480
python,binary_heap,4. Heapify random,200000,BinaryHeap,2,0.102504194
python,binary_heap,4. Heapify random,200000,BinaryHeap,3,0.102102817
python,binary_heap,4. Heapify random,200000,BinaryHeap,4,0.111582845
python,binary_heap,4. Heapify random,200000,BinaryHeap,5,0.111367053
python,binary_heap,4. Heapify random,200000,heapq,1,0.007665253
python,binary_heap,4. Heapify random,200000,heapq,2,0.007856444
python,binary_heap,4. Heapify random,200000,heapq,3,0.008217041
python,binary_heap,4. Heapify random,200000,heapq,4,0.007823216
python,binary_heap,4. Heapify random,200000,heapq,5,0.007563065
python,binary_heap,4. Heapify random,500000,BinaryHeap,1,0.277456551
python,binary_heap,4. Heapify random,500000,BinaryHeap,2,0.260429666
python,binary_heap,4. Heapify random,500000,BinaryHeap,3,0.275046613
python,binary_heap,4. Heapify random,500000,BinaryHeap,4,0.258082923
python,binary_heap,4. Heapify random,500000,BinaryHeap,5,0.270806517
python,binary_heap,4. Heapify random,500000,heapq,1,0.022510924
python,binary_heap,4. Heapify random,500000,heapq,2,0.022338071
python,binary_heap,4. Heapify random,500000,heapq,3,0.022639893
python,binary_heap,4. Heapify random,500000,heapq,4,0.023093611
python,binary_heap,4. Heapify random,500000,heapq,5,0.022610494
python,binary_heap,4. Heapify random,1000000,BinaryHeap,1,0.564222045
python,binary_heap,4. Heapify random,1000000,BinaryHeap,2,0.558548672
python,binary_heap,4. Heapify random,1000000,BinaryHeap,3,0.553461006
python,binary_heap,4. Heapify random,1000000,BinaryHeap,4,0.549775387
python,binary_heap,4. Heapify random,1000000,BinaryHeap,5,0.559682097
python,binary_heap,4. Heapify random,1000000,heapq,1,0.054599543
python,binary_heap,4. Heapify random,1000000,heapq,2,0.053187779
python,binary_heap,4. Heapify random,1000000,heapq,3,0.053895271
python,binary_heap,4. Heapify random,1000000,heapq,4,0.053529781
python,binary_heap,4. Heapify random,1000000,heapq,5,0.058565437
python,binary_heap,4. Heapify random,2000000,BinaryHeap,1,1.122321794
python,binary_heap,4. Heapify random,2000000,BinaryHeap,2,1.133399941
python,binary_heap,4. Heapify random,2000000,BinaryHeap,3,1.120617905
python,binary_heap,4. Heapify random,2000000,BinaryHeap,4,1.117359936
python,binary_heap,4. Heapify random,2000000,BinaryHeap,5,1.115751255
python,binary_heap,4. Heapify random,2000000,heapq,1,0.108534378
python,binary_heap,4. Heapify random,2000000,heapq,2,0.122608008
python,binary_heap,4. Heapify random,2000000,heapq,3,0.109039819
python,binary_heap,4. Heapify random,2000000,heapq,4,0.110576747
python,binary_heap,4. Heapify random,2000000,heapq,5,0.110789477
python,binary_heap,4. Heapify random,5000000,BinaryHeap,1,2.753233833
python,binary_heap,4. Heapify random,5000000,BinaryHeap,2,2.779702940
python,binary_heap,4. Heapify random,5000000,BinaryHeap,3,2.746430127
python,binary_heap,4. Heapify random,5000000,BinaryHeap,4,2.734460933
python,binary_heap,4. Heapify random,5000000,BinaryHeap,5,2.805181218
python,binary_heap,4. Heapify random,5000000,heapq,1,0.254453071
python,binary_heap,4. Heapify random,5000000,heapq,2,0.261312961
python,binary_heap,4. Heapify random,5000000,heapq,3,0.286289809
python,binary_heap,4. Heapify random,5000000,heapq,4,0.346179070
python,binary_heap,4. Heapify random,5000000,heapq,5,0.341020118
python,binary_heap,4. Heapify random,10000000,BinaryHeap,1,5.717628874
python,binary_heap,4. Heapify random,10000000,BinaryHeap,2,5.655188790
python,binary_heap,4. Heapify random,10000000,BinaryHeap,3,5.609417417
python,binary_heap,4. Heapify random,10000000,BinaryHeap,4,5.593990580
python,binary_heap,4. Heapify random,10000000,BinaryHeap,5,5.624661819
python,binary_heap,4. Heapify random,10000000,heapq,1,0.563337685
python,binary_heap,4. Heapify random,10000000,heapq,2,0.560202489
python,binary_heap,4. Heapify random,10000000,heapq,3,0.557850265
python,binary_heap,4. Heapify random,10000000,heapq,4,0.559211924
python,binary_heap,4. Heapify random,10000000,heapq,5,0.555368599
python,binary_heap,4. Heapify random,15000000,BinaryHeap,1,8.743771915
python,binary_heap,4. Heapify random,15000000,BinaryHeap,2,8.703885737
python,binary_heap,4. Heapify random,15000000,BinaryHeap,3,8.735679558
python,binary_heap,4. Heapify random,15000000,BinaryHeap,4,8.687994341
python,binary_heap,4. Heapify random,15000000,BinaryHeap,5,8.712656694
python,binary_heap,4. Heapify random,15000000,heapq,1,0.938290444
python,binary_heap,4. Heapify random,15000000,heapq,2,0.941454399
python,binary_heap,4. Heapify random,15000000,heapq,3,0.935035727
python,binary_heap,4. Heapify random,15000000,heapq,4,0.964375923
python,binary_heap,4. Heapify random,15000000,heapq,5,0.952486473
python,binary_heap,5. Pop all after heapify,10000,BinaryHeap,1,0.046744174
python,binary_heap,5. Pop all after heapify,10000,BinaryHeap,2,0.046041042
python,binary_heap,5. Pop all after heapify,10000,BinaryHeap,3,0.043248869
python,binary_heap,5. Pop all after heapify,10000,BinaryHeap,4,0.040904211
python,binary_heap,5. Pop all after heapify,10000,BinaryHeap,5,0.042558534
python,binary_heap,5. Pop all after heapify,10000,heapq,1,0.003757752
python,binary_heap,5. Pop all after heapify,10000,heapq,2,0.003735426
python,binary_heap,5. Pop all after heapify,10000,heapq,3,0.003826735
python,binary_heap,5. Pop all after heapify,10000,heapq,4,0.003733873
python,binary_heap,5. Pop all after heapify,10000,heapq,5,0.003848835
python,binary_heap,5. Pop all after heapify,50000,BinaryHeap,1,0.269217674
